team,week,event,rank,Overall_Result_Text,Plyoff_Result_Text,plyoff_team,plyoff_pick,plyoff_record,quals_record,quals_matchs,quals_size,quals_dqs,quals_avg_rp,quals_total_endgame_points,quals_total_auto_points,quals_total_ownership_points,quals_total_vault_points
frc1540,0.0,2018orore,4,"Team 1540 was Rank 4/37 with a record of 9-3-0 in quals, competed in the playoffs as the Captain of Alliance 3, and was eliminated in the Quarterfinals with a playoff record of 1-2-0.",Captain of Alliance 3,3,0,"{'losses': 2, 'ties': 0, 'wins': 1}","{'losses': 3, 'ties': 0, 'wins': 9}",12,37,0,2.33,405.0,286.0,2554.0,195.0
frc1540,1.0,2018orwil,8,"Team 1540 was Rank 8/37 with a record of 7-5-0 in quals, competed in the playoffs as the Captain of Alliance 5, and was eliminated in the Semifinals with a playoff record of 2-2-0.",Captain of Alliance 5,5,0,"{'losses': 2, 'ties': 0, 'wins': 2}","{'losses': 5, 'ties': 0, 'wins': 7}",12,37,0,1.75,465.0,246.0,2536.0,275.0
frc1540,5.0,2018pncmp,57,Team 1540 was Rank 57/64 with a record of 5-7-0 in quals.,--,-1,-1,NA,"{'losses': 7, 'ties': 0, 'wins': 5}",12,64,0,1.41,495.0,412.0,2296.0,230.0
frc1710,3.0,2018iacf,24,"Team 1710 was Rank 24/61 with a record of 6-3-0 in quals, competed in the playoffs as the 1st Pick of Alliance 1, and was eliminated in the Semifinals with a playoff record of 2-2-0.",1st Pick of Alliance 1,1,1,"{'losses': 2, 'ties': 0, 'wins': 2}","{'losses': 3, 'ties': 0, 'wins': 6}",9,61,0,1.66,385.0,263.0,1801.0,225.0
frc1710,1.0,2018mokc2,14,"Team 1710 was Rank 14/43 with a record of 8-4-0 in quals, competed in the playoffs as the 1st Pick of Alliance 3, and won the event with a playoff record of 6-1-0.",1st Pick of Alliance 3,3,1,"{'losses': 1, 'ties': 0, 'wins': 6}","{'losses': 4, 'ties': 0, 'wins': 8}",12,43,0,1.83,475.0,368.0,2700.0,385.0
frc1730,3.0,2018code,9,"Team 1730 was Rank 9/52 with a record of 9-2-0 in quals, competed in the playoffs as the Captain of Alliance 7, and was eliminated in the Quarterfinals with a playoff record of 0-2-0.",Captain of Alliance 7,7,0,"{'losses': 2, 'ties': 0, 'wins': 0}","{'losses': 2, 'ties': 0, 'wins': 9}",11,52,0,2.45,510.0,383.0,2456.0,340.0
frc1730,1.0,2018mokc2,1,"Team 1730 was Rank 1/43 with a record of 12-0-0 in quals, competed in the playoffs as the Captain of Alliance 1, and was eliminated in the Finals with a playoff record of 4-2-0.",Captain of Alliance 1,1,0,"{'losses': 2, 'ties': 0, 'wins': 4}","{'losses': 0, 'ties': 0, 'wins': 12}",12,43,0,2.66,495.0,390.0,3271.0,270.0
frc1763,2.0,2018mokc,9,"Team 1763 was Rank 9/43 with a record of 9-3-0 in quals, competed in the playoffs as the Captain of Alliance 6, and was eliminated in the Semifinals with a playoff record of 3-2-0.",Captain of Alliance 6,6,0,"{'losses': 2, 'ties': 0, 'wins': 3}","{'losses': 3, 'ties': 0, 'wins': 9}",12,43,0,1.83,530.0,300.0,2665.0,350.0
frc1775,2.0,2018mokc,33,Team 1775 was Rank 33/43 with a record of 4-8-0 in quals.,--,-1,-1,NA,"{'losses': 8, 'ties': 0, 'wins': 4}",12,43,0,0.91,445.0,213.0,2007.0,295.0
frc1775,5.0,2018wila,27,Team 1775 was Rank 27/53 with a record of 5-5-0 in quals.,--,-1,-1,NA,"{'losses': 5, 'ties': 0, 'wins': 5}",10,53,0,1.6,560.0,261.0,1884.0,255.0
frc1778,5.0,2018pncmp,31,"Team 1778 was Rank 31/64 with a record of 7-5-0 in quals, competed in the playoffs as the 2nd Pick of Alliance 1, and won the event with a playoff record of 6-2-0.",2nd Pick of Alliance 1,1,2,"{'losses': 2, 'ties': 0, 'wins': 6}","{'losses': 5, 'ties': 0, 'wins': 7}",12,64,0,2.0,560.0,362.0,2583.0,305.0
frc1778,2.0,2018waahs,9,"Team 1778 was Rank 9/35 with a record of 8-4-0 in quals, competed in the playoffs as the Captain of Alliance 6, and was eliminated in the Quarterfinals with a playoff record of 0-2-0.",Captain of Alliance 6,6,0,"{'losses': 2, 'ties': 0, 'wins': 0}","{'losses': 4, 'ties': 0, 'wins': 8}",12,35,0,1.75,495.0,280.0,2303.0,325.0
frc1778,4.0,2018waamv,2,"Team 1778 was Rank 2/35 with a record of 10-2-0 in quals, competed in the playoffs as the Captain of Alliance 2, and was eliminated in the Finals with a playoff record of 4-3-0.",Captain of Alliance 2,2,0,"{'losses': 3, 'ties': 0, 'wins': 4}","{'losses': 2, 'ties': 0, 'wins': 10}",12,35,0,2.33,550.0,333.0,2666.0,340.0
frc179,1.0,2018flor,2,"Team 179 was Rank 2/64 with a record of 6-2-0 in quals, competed in the playoffs as the Captain of Alliance 2, and won the event with a playoff record of 6-1-0.",Captain of Alliance 2,2,0,"{'losses': 1, 'ties': 0, 'wins': 6}","{'losses': 2, 'ties': 0, 'wins': 6}",8,64,0,2.5,635.0,226.0,1847.0,190.0
frc179,4.0,2018flwp,1,"Team 179 was Rank 1/55 with a record of 8-2-0 in quals, competed in the playoffs as the Captain of Alliance 1, and won the event with a playoff record of 6-1-0.",Captain of Alliance 1,1,0,"{'losses': 1, 'ties': 0, 'wins': 6}","{'losses': 2, 'ties': 0, 'wins': 8}",10,55,0,2.9,705.0,329.0,2420.0,325.0
frc1983,4.0,2018idbo,6,"Team 1983 was Rank 6/39 with a record of 9-2-0 in quals, competed in the playoffs as the Captain of Alliance 4, and was eliminated in the Semifinals with a playoff record of 3-2-0.",Captain of Alliance 4,4,0,"{'losses': 2, 'ties': 0, 'wins': 3}","{'losses': 2, 'ties': 0, 'wins': 9}",11,39,0,2.36,610.0,264.0,2523.0,255.0
frc1983,5.0,2018pncmp,14,"Team 1983 was Rank 14/64 with a record of 9-3-0 in quals, competed in the playoffs as the 1st Pick of Alliance 5, and was eliminated in the Quarterfinals with a playoff record of 1-2-0.",1st Pick of Alliance 5,5,1,"{'losses': 2, 'ties': 0, 'wins': 1}","{'losses': 3, 'ties': 0, 'wins': 9}",12,64,0,2.5,655.0,400.0,2937.0,335.0
frc1983,2.0,2018waahs,5,"Team 1983 was Rank 5/35 with a record of 9-3-0 in quals, competed in the playoffs as the 1st Pick of Alliance 1, and won the event with a playoff record of 6-1-0.",1st Pick of Alliance 1,1,1,"{'losses': 1, 'ties': 0, 'wins': 6}","{'losses': 3, 'ties': 0, 'wins': 9}",12,35,0,2.0,460.0,216.0,2413.0,275.0
frc1983,3.0,2018wasno,6,"Team 1983 was Rank 6/36 with a record of 8-3-1 in quals, competed in the playoffs as the 1st Pick of Alliance 1, and won the event with a playoff record of 6-0-0.",1st Pick of Alliance 1,1,1,"{'losses': 0, 'ties': 0, 'wins': 6}","{'losses': 3, 'ties': 1, 'wins': 8}",12,36,0,2.0,510.0,296.0,2768.0,365.0
frc2073,1.0,2018azfl,31,"Team 2073 was Rank 31/60 with a record of 7-2-0 in quals, competed in the playoffs as the 2nd Pick of Alliance 2, and was eliminated in the Finals with a playoff record of 4-4-0.",2nd Pick of Alliance 2,2,2,"{'losses': 4, 'ties': 0, 'wins': 4}","{'losses': 2, 'ties': 0, 'wins': 7}",9,60,0,1.55,265.0,234.0,2083.0,195.0
frc2073,3.0,2018cada,56,Team 2073 was Rank 56/65 with a record of 2-6-0 in quals.,--,-1,-1,NA,"{'losses': 6, 'ties': 0, 'wins': 2}",8,65,0,0.87,255.0,168.0,1249.0,155.0
frc2080,1.0,2018arli,25,Team 2080 was Rank 25/55 with a record of 4-6-0 in quals.,--,-1,-1,NA,"{'losses': 6, 'ties': 0, 'wins': 4}",10,55,0,1.3,455.0,201.0,1592.0,265.0
frc2080,3.0,2018lake,12,"Team 2080 was Rank 12/55 with a record of 6-3-0 in quals, competed in the playoffs as the 2nd Pick of Alliance 8, and was eliminated in the Quarterfinals with a playoff record of 0-2-0.",2nd Pick of Alliance 8,8,2,"{'losses': 2, 'ties': 0, 'wins': 0}","{'losses': 3, 'ties': 0, 'wins': 6}",9,55,0,1.77,345.0,184.0,1606.0,270.0
frc2352,2.0,2018mokc,8,"Team 2352 was Rank 8/43 with a record of 8-4-0 in quals, competed in the playoffs as the 1st Pick of Alliance 2, and was eliminated in the Quarterfinals with a playoff record of 1-2-0.",1st Pick of Alliance 2,2,1,"{'losses': 2, 'ties': 0, 'wins': 1}","{'losses': 4, 'ties': 0, 'wins': 8}",12,43,0,1.91,615.0,339.0,2602.0,330.0
frc2352,4.0,2018okok,1,"Team 2352 was Rank 1/61 with a record of 8-1-0 in quals, competed in the playoffs as the Captain of Alliance 1, and won the event with a playoff record of 6-1-0.",Captain of Alliance 1,1,0,"{'losses': 1, 'ties': 0, 'wins': 6}","{'losses': 1, 'ties': 0, 'wins': 8}",9,61,0,2.55,480.0,268.0,2404.0,280.0
frc2383,2.0,2018casf,11,"Team 2383 was Rank 11/43 with a record of 7-3-0 in quals, competed in the playoffs as the 1st Pick of Alliance 2, and was eliminated in the Finals with a playoff record of 4-2-0.",1st Pick of Alliance 2,2,1,"{'losses': 2, 'ties': 0, 'wins': 4}","{'losses': 3, 'ties': 0, 'wins': 7}",10,43,0,1.7,425.0,218.0,2283.0,285.0
frc2383,4.0,2018flwp,20,"Team 2383 was Rank 20/55 with a record of 6-4-0 in quals, competed in the playoffs as the 1st Pick of Alliance 6, and was eliminated in the Finals with a playoff record of 4-3-0.",1st Pick of Alliance 6,6,1,"{'losses': 3, 'ties': 0, 'wins': 4}","{'losses': 4, 'ties': 0, 'wins': 6}",10,55,0,2.0,355.0,353.0,2381.0,275.0
frc2383,0.0,2018scmb,14,"Team 2383 was Rank 14/64 with a record of 6-2-0 in quals, competed in the playoffs as the 2nd Pick of Alliance 5, and won the event with a playoff record of 6-2-0.",2nd Pick of Alliance 5,5,2,"{'losses': 2, 'ties': 0, 'wins': 6}","{'losses': 2, 'ties': 0, 'wins': 6}",9,64,1,1.77,330.0,236.0,1779.0,180.0
frc2521,4.0,2018orlak,21,"Team 2521 was Rank 21/36 with a record of 6-6-0 in quals, competed in the playoffs as the 2nd Pick of Alliance 6, and was eliminated in the Semifinals with a playoff record of 2-2-0.",2nd Pick of Alliance 6,6,2,"{'losses': 2, 'ties': 0, 'wins': 2}","{'losses': 6, 'ties': 0, 'wins': 6}",12,36,0,1.41,435.0,266.0,2251.0,135.0
frc2521,1.0,2018orwil,18,"Team 2521 was Rank 18/37 with a record of 7-5-0 in quals, competed in the playoffs as the 1st Pick of Alliance 5, and was eliminated in the Semifinals with a playoff record of 2-2-0.",1st Pick of Alliance 5,5,1,"{'losses': 2, 'ties': 0, 'wins': 2}","{'losses': 5, 'ties': 0, 'wins': 7}",12,37,0,1.5,480.0,266.0,2271.0,280.0
frc2521,5.0,2018pncmp,18,Team 2521 was Rank 18/64 with a record of 8-4-0 in quals.,--,-1,-1,NA,"{'losses': 4, 'ties': 0, 'wins': 8}",12,64,0,2.33,730.0,411.0,2776.0,345.0
frc2522,5.0,2018pncmp,20,"Team 2522 was Rank 20/64 with a record of 7-5-0 in quals, competed in the playoffs as the 2nd Pick of Alliance 7, and was eliminated in the Quarterfinals with a playoff record of 0-2-0.",2nd Pick of Alliance 7,7,2,"{'losses': 2, 'ties': 0, 'wins': 0}","{'losses': 5, 'ties': 0, 'wins': 7}",12,64,0,2.25,685.0,481.0,2538.0,395.0
frc2522,3.0,2018wasno,4,"Team 2522 was Rank 4/36 with a record of 10-2-0 in quals, competed in the playoffs as the Captain of Alliance 4, and was eliminated in the Semifinals with a playoff record of 2-2-0.",Captain of Alliance 4,4,0,"{'losses': 2, 'ties': 0, 'wins': 2}","{'losses': 2, 'ties': 0, 'wins': 10}",12,36,0,2.16,665.0,413.0,3141.0,425.0
frc2522,2.0,2018wayak,10,"Team 2522 was Rank 10/31 with a record of 7-5-0 in quals, competed in the playoffs as the Captain of Alliance 7, and was eliminated in the Quarterfinals with a playoff record of 0-2-0.",Captain of Alliance 7,7,0,"{'losses': 2, 'ties': 0, 'wins': 0}","{'losses': 5, 'ties': 0, 'wins': 7}",12,31,0,1.5,385.0,291.0,2291.0,235.0
frc2576,1.0,2018casd,54,Team 2576 was Rank 54/66 with a record of 2-6-0 in quals.,--,-1,-1,NA,"{'losses': 6, 'ties': 0, 'wins': 2}",8,66,0,0.87,255.0,195.0,1202.0,250.0
frc2576,0.0,2018utwv,30,Team 2576 was Rank 30/52 with a record of 4-5-0 in quals.,--,-1,-1,NA,"{'losses': 5, 'ties': 0, 'wins': 4}",9,52,0,1.22,205.0,170.0,1214.0,155.0
frc2584,2.0,2018capo,16,"Team 2584 was Rank 16/54 with a record of 6-3-0 in quals, competed in the playoffs as the 2nd Pick of Alliance 1, and won the event with a playoff record of 6-0-0.",2nd Pick of Alliance 1,1,2,"{'losses': 0, 'ties': 0, 'wins': 6}","{'losses': 3, 'ties': 0, 'wins': 6}",9,54,0,1.55,275.0,195.0,1849.0,190.0
frc2906,5.0,2018pncmp,58,Team 2906 was Rank 58/64 with a record of 4-8-0 in quals.,--,-1,-1,NA,"{'losses': 8, 'ties': 0, 'wins': 4}",12,64,0,1.33,570.0,331.0,2005.0,305.0
frc2906,2.0,2018waahs,6,"Team 2906 was Rank 6/35 with a record of 8-4-0 in quals, competed in the playoffs as the Captain of Alliance 4, and was eliminated in the Quarterfinals with a playoff record of 0-2-0.",Captain of Alliance 4,4,0,"{'losses': 2, 'ties': 0, 'wins': 0}","{'losses': 4, 'ties': 0, 'wins': 8}",12,35,0,1.91,500.0,215.0,2076.0,280.0
frc2906,4.0,2018waamv,3,"Team 2906 was Rank 3/35 with a record of 8-4-0 in quals, competed in the playoffs as the Captain of Alliance 3, and was eliminated in the Quarterfinals with a playoff record of 1-2-0.",Captain of Alliance 3,3,0,"{'losses': 2, 'ties': 0, 'wins': 1}","{'losses': 4, 'ties': 0, 'wins': 8}",12,35,0,2.25,595.0,340.0,2348.0,375.0
frc3239,4.0,2018idbo,4,"Team 3239 was Rank 4/39 with a record of 8-3-0 in quals, competed in the playoffs as the Captain of Alliance 3, and was eliminated in the Finals with a playoff record of 4-3-0.",Captain of Alliance 3,3,0,"{'losses': 3, 'ties': 0, 'wins': 4}","{'losses': 3, 'ties': 0, 'wins': 8}",11,39,0,2.45,685.0,350.0,2372.0,285.0
frc3239,0.0,2018utwv,13,"Team 3239 was Rank 13/52 with a record of 6-3-0 in quals, competed in the playoffs as the 1st Pick of Alliance 6, and was eliminated in the Quarterfinals with a playoff record of 0-2-0.",1st Pick of Alliance 6,6,1,"{'losses': 2, 'ties': 0, 'wins': 0}","{'losses': 3, 'ties': 0, 'wins': 6}",9,52,0,1.77,275.0,218.0,1873.0,190.0
frc3250,5.0,2018abca,2,"Team 3250 was Rank 2/35 with a record of 10-2-0 in quals, competed in the playoffs as the Captain of Alliance 2, and was eliminated in the Finals with a playoff record of 4-3-0.",Captain of Alliance 2,2,0,"{'losses': 3, 'ties': 0, 'wins': 4}","{'losses': 2, 'ties': 0, 'wins': 10}",12,35,0,2.58,745.0,452.0,3092.0,365.0
frc3250,1.0,2018azfl,37,Team 3250 was Rank 37/60 with a record of 4-5-0 in quals.,--,-1,-1,NA,"{'losses': 5, 'ties': 0, 'wins': 4}",9,60,0,1.22,375.0,217.0,1537.0,200.0
frc3250,3.0,2018cada,3,"Team 3250 was Rank 3/65 with a record of 7-1-0 in quals, competed in the playoffs as the Captain of Alliance 2, and was eliminated in the Semifinals with a playoff record of 3-3-0.",Captain of Alliance 2,2,0,"{'losses': 3, 'ties': 0, 'wins': 3}","{'losses': 1, 'ties': 0, 'wins': 7}",8,65,0,2.37,430.0,254.0,1786.0,220.0
frc3288,3.0,2018code,28,Team 3288 was Rank 28/52 with a record of 5-6-0 in quals.,--,-1,-1,NA,"{'losses': 6, 'ties': 0, 'wins': 5}",11,52,0,1.54,505.0,259.0,1462.0,265.0
frc3288,4.0,2018idbo,27,"Team 3288 was Rank 27/39 with a record of 4-7-0 in quals, competed in the playoffs as the 2nd Pick of Alliance 3, and was eliminated in the Finals with a playoff record of 4-3-0.",2nd Pick of Alliance 3,3,2,"{'losses': 3, 'ties': 0, 'wins': 4}","{'losses': 7, 'ties': 0, 'wins': 4}",11,39,0,1.27,575.0,253.0,1667.0,235.0
frc3316,3.0,2018iscmp,5,"Team 3316 was Rank 5/45 with a record of 7-3-1 in quals, competed in the playoffs as the 1st Pick of Alliance 4, and was eliminated in the Quarterfinals with a playoff record of 1-2-0.",1st Pick of Alliance 4,4,1,"{'losses': 2, 'ties': 0, 'wins': 1}","{'losses': 3, 'ties': 1, 'wins': 7}",11,45,0,2.54,585.0,415.0,2722.0,320.0
frc3316,0.0,2018isde1,11,"Team 3316 was Rank 11/34 with a record of 6-5-0 in quals, competed in the playoffs as the 1st Pick of Alliance 3, and was eliminated in the Semifinals with a playoff record of 2-3-0.",1st Pick of Alliance 3,3,1,"{'losses': 3, 'ties': 0, 'wins': 2}","{'losses': 5, 'ties': 0, 'wins': 6}",11,34,0,1.45,420.0,275.0,2207.0,255.0
frc3316,1.0,2018isde3,3,"Team 3316 was Rank 3/32 with a record of 10-1-0 in quals, competed in the playoffs as the Captain of Alliance 3, and won the event with a playoff record of 6-1-0.",Captain of Alliance 3,3,0,"{'losses': 1, 'ties': 0, 'wins': 6}","{'losses': 1, 'ties': 0, 'wins': 10}",11,32,0,2.45,640.0,364.0,2810.0,285.0
frc3390,5.0,2018caav,32,"Team 3390 was Rank 32/36 with a record of 4-9-0 in quals, competed in the playoffs as the 2nd Pick of Alliance 3, and was eliminated in the Finals with a playoff record of 5-3-0.",2nd Pick of Alliance 3,3,2,"{'losses': 3, 'ties': 0, 'wins': 5}","{'losses': 9, 'ties': 0, 'wins': 4}",13,36,0,1.15,585.0,329.0,1946.0,345.0
frc3476,5.0,2018caav,5,"Team 3476 was Rank 5/36 with a record of 9-4-0 in quals, competed in the playoffs as the 1st Pick of Alliance 2, and was eliminated in the Semifinals with a playoff record of 3-2-0.",1st Pick of Alliance 2,2,1,"{'losses': 2, 'ties': 0, 'wins': 3}","{'losses': 4, 'ties': 0, 'wins': 9}",13,36,0,2.38,935.0,438.0,3022.0,425.0
frc3476,3.0,2018cair,2,"Team 3476 was Rank 2/52 with a record of 9-1-0 in quals, competed in the playoffs as the 1st Pick of Alliance 1, and was eliminated in the Finals with a playoff record of 4-2-0.",1st Pick of Alliance 1,1,1,"{'losses': 2, 'ties': 0, 'wins': 4}","{'losses': 1, 'ties': 0, 'wins': 9}",10,52,0,3.3,660.0,362.0,2511.0,250.0
frc3646,5.0,2018nyli,1,"Team 3646 was Rank 1/35 with a record of 10-2-0 in quals, competed in the playoffs as the Captain of Alliance 1, and won the event with a playoff record of 6-0-0.",Captain of Alliance 1,1,0,"{'losses': 0, 'ties': 0, 'wins': 6}","{'losses': 2, 'ties': 0, 'wins': 10}",12,35,0,2.58,635.0,393.0,3191.0,415.0
frc3646,1.0,2018tuis,2,Team 3646 was Rank 2/37 with a record of 10-2-0 in quals.,--,-1,-1,NA,"{'losses': 2, 'ties': 0, 'wins': 10}",12,37,0,2.08,560.0,346.0,2928.0,260.0
frc3792,2.0,2018alhu,3,"Team 3792 was Rank 3/43 with a record of 7-4-0 in quals, competed in the playoffs as the 1st Pick of Alliance 1, and won the event with a playoff record of 6-1-0.",1st Pick of Alliance 1,1,1,"{'losses': 1, 'ties': 0, 'wins': 6}","{'losses': 4, 'ties': 0, 'wins': 7}",11,43,0,2.09,625.0,231.0,2400.0,360.0
frc3792,1.0,2018mosl,24,Team 3792 was Rank 24/49 with a record of 5-5-0 in quals.,--,-1,-1,NA,"{'losses': 5, 'ties': 0, 'wins': 5}",10,49,0,1.3,400.0,199.0,1773.0,245.0
frc3880,3.0,2018cada,59,"Team 3880 was Rank 59/65 with a record of 2-6-0 in quals, competed in the playoffs as the 2nd Pick of Alliance 3, and was eliminated in the Finals with a playoff record of 4-4-0.",2nd Pick of Alliance 3,3,2,"{'losses': 4, 'ties': 0, 'wins': 4}","{'losses': 6, 'ties': 0, 'wins': 2}",8,65,0,0.75,385.0,135.0,1466.0,265.0
frc3880,2.0,2018casf,10,"Team 3880 was Rank 10/43 with a record of 6-4-0 in quals, competed in the playoffs as the Captain of Alliance 8, and was eliminated in the Quarterfinals with a playoff record of 0-2-0.",Captain of Alliance 8,8,0,"{'losses': 2, 'ties': 0, 'wins': 0}","{'losses': 4, 'ties': 0, 'wins': 6}",10,43,0,1.7,450.0,209.0,1818.0,265.0
frc3882,1.0,2018casd,45,"Team 3882 was Rank 45/66 with a record of 2-6-0 in quals, competed in the playoffs as the 2nd Pick of Alliance 6, and was eliminated in the Finals with a playoff record of 4-3-0.",2nd Pick of Alliance 6,6,2,"{'losses': 3, 'ties': 0, 'wins': 4}","{'losses': 6, 'ties': 0, 'wins': 2}",8,66,0,1.0,385.0,182.0,1392.0,205.0
frc3882,3.0,2018hiho,5,"Team 3882 was Rank 5/37 with a record of 8-5-0 in quals, competed in the playoffs as the Captain of Alliance 4, and was eliminated in the Quarterfinals with a playoff record of 0-2-0.",Captain of Alliance 4,4,0,"{'losses': 2, 'ties': 0, 'wins': 0}","{'losses': 5, 'ties': 0, 'wins': 8}",13,37,0,2.07,545.0,385.0,2430.0,435.0
frc3959,2.0,2018alhu,2,"Team 3959 was Rank 2/43 with a record of 10-1-0 in quals, competed in the playoffs as the Captain of Alliance 2, and was eliminated in the Finals with a playoff record of 5-3-0.",Captain of Alliance 2,2,0,"{'losses': 3, 'ties': 0, 'wins': 5}","{'losses': 1, 'ties': 0, 'wins': 10}",11,43,0,2.45,415.0,325.0,2824.0,365.0
frc3959,3.0,2018tnkn,7,"Team 3959 was Rank 7/50 with a record of 8-2-0 in quals, competed in the playoffs as the 1st Pick of Alliance 2, and was eliminated in the Finals with a playoff record of 4-3-0.",1st Pick of Alliance 2,2,1,"{'losses': 3, 'ties': 0, 'wins': 4}","{'losses': 2, 'ties': 0, 'wins': 8}",10,50,0,2.2,415.0,240.0,2335.0,345.0
frc4159,2.0,2018casf,9,"Team 4159 was Rank 9/43 with a record of 7-3-0 in quals, competed in the playoffs as the Captain of Alliance 7, and was eliminated in the Quarterfinals with a playoff record of 0-2-0.",Captain of Alliance 7,7,0,"{'losses': 2, 'ties': 0, 'wins': 0}","{'losses': 3, 'ties': 0, 'wins': 7}",10,43,0,1.8,315.0,203.0,1853.0,250.0
frc4159,4.0,2018casj,25,"Team 4159 was Rank 25/60 with a record of 5-4-0 in quals, competed in the playoffs as the 2nd Pick of Alliance 2, and was eliminated in the Finals with a playoff record of 4-2-0.",2nd Pick of Alliance 2,2,2,"{'losses': 2, 'ties': 0, 'wins': 4}","{'losses': 4, 'ties': 0, 'wins': 5}",9,60,0,1.66,435.0,232.0,1895.0,285.0
frc4188,5.0,2018gacmp,11,"Team 4188 was Rank 11/45 with a record of 8-4-0 in quals, competed in the playoffs as the 1st Pick of Alliance 7, and was eliminated in the Finals with a playoff record of 4-4-0.",1st Pick of Alliance 7,7,1,"{'losses': 4, 'ties': 0, 'wins': 4}","{'losses': 4, 'ties': 0, 'wins': 8}",12,45,0,1.91,590.0,361.0,2623.0,320.0
frc4188,3.0,2018gacol,2,"Team 4188 was Rank 2/33 with a record of 10-2-0 in quals, competed in the playoffs as the Captain of Alliance 2, and was eliminated in the Quarterfinals with a playoff record of 1-2-0.",Captain of Alliance 2,2,0,"{'losses': 2, 'ties': 0, 'wins': 1}","{'losses': 2, 'ties': 0, 'wins': 10}",12,33,0,2.08,480.0,232.0,2586.0,340.0
